,Percent,Avg. efficiency,Sim 10,Sim 100,Sim 1000
Grid 2x1x1 at 0.01,0.01,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.02,0.02,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.03,0.03,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.04,0.04,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.05,0.05,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.1,0.1,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.15,0.15,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.2,0.2,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.25,0.25,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.5,0.5,1.0,1.0,1.0,1.0
Cycle 2 at 0.01,0.01,1.0,1.0,1.0,1.0
Cycle 2 at 0.02,0.02,1.0,1.0,1.0,1.0
Cycle 2 at 0.03,0.03,1.0,1.0,1.0,1.0
Cycle 2 at 0.04,0.04,1.0,1.0,1.0,1.0
Cycle 2 at 0.05,0.05,1.0,1.0,1.0,1.0
Cycle 2 at 0.1,0.1,1.0,1.0,1.0,1.0
Cycle 2 at 0.15,0.15,1.0,1.0,1.0,1.0
Cycle 2 at 0.2,0.2,1.0,1.0,1.0,1.0
Cycle 2 at 0.25,0.25,1.0,1.0,1.0,1.0
Cycle 2 at 0.5,0.5,1.0,1.0,1.0,1.0
Grid 3x1x1 at 0.01,0.01,0.8333333333333334,0.8,0.79,0.815
Grid 3x1x1 at 0.02,0.02,0.8333333333333334,0.85,0.825,0.8405
Grid 3x1x1 at 0.03,0.03,0.8333333333333334,0.75,0.81,0.8365
Grid 3x1x1 at 0.04,0.04,0.8333333333333334,0.85,0.86,0.8405
Grid 3x1x1 at 0.05,0.05,0.8333333333333334,0.9,0.855,0.828
Grid 3x1x1 at 0.1,0.1,0.8333333333333334,0.75,0.815,0.8315
Grid 3x1x1 at 0.15,0.15,0.8333333333333334,1.0,0.87,0.8335
Grid 3x1x1 at 0.2,0.2,0.8333333333333334,0.85,0.835,0.82975
Grid 3x1x1 at 0.25,0.25,0.8333333333333334,0.8,0.845,0.8315
Grid 3x1x1 at 0.5,0.5,0.8333333333333334,0.85,0.8383333333333332,0.8321666666666705
Tree 2 at 0.01,0.01,0.8333333333333334,0.8,0.835,0.833
Tree 2 at 0.02,0.02,0.8333333333333334,0.95,0.79,0.8415
Tree 2 at 0.03,0.03,0.8333333333333334,0.95,0.825,0.8415
Tree 2 at 0.04,0.04,0.8333333333333334,0.9,0.84,0.834
Tree 2 at 0.05,0.05,0.8333333333333334,0.85,0.835,0.836
Tree 2 at 0.1,0.1,0.8333333333333334,0.85,0.855,0.8225
Tree 2 at 0.15,0.15,0.8333333333333334,0.9,0.855,0.8325
Tree 2 at 0.2,0.2,0.8333333333333334,0.8,0.8325,0.8295
Tree 2 at 0.25,0.25,0.8333333333333334,0.825,0.845,0.82725
